"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","EMP","EMP_N",
"0500000US01055","Etowah County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","6","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","8","1392","G","324","G","118","H",
"0500000US01055","Etowah County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","842","G","218","G","76","G",
"0500000US01055","Etowah County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","3","128","H","30","J","10","G",
"0500000US01065","Hale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","3","2049","J","431","J","54","J",
"0500000US01069","Houston County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","17","4532","H","1061","H","106","J",
"0500000US01069","Houston County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","11","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","14","2246","G","536","G","138","G",
"0500000US01069","Houston County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","7","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","8","1096","G","204","G","70","G",
"0500000US01069","Houston County, Alabama","713990","All other amusement and recreation industries","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","5","441","H","95","H","24","H",
"0500000US01069","Houston County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01071","Jackson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","8","1912","H","451","H","46","H",
"0500000US01071","Jackson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01071","Jackson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","4","N","N","N","N","N","N",
"0500000US01071","Jackson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","4","116","H","19","J","10","G",
"0500000US01071","Jackson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01071","Jackson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","48","J","10","J","5","J",
"0500000US01071","Jackson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","123","59307","G","15300","G","1127","H",
"0500000US01073","Jefferson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","55","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","32","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","25","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","241","Establishments with 20 to 49 employees","2022","9","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","711211","Sports teams and clubs","001","All establishments","001","All establishments","2022","5","4162","H","886","H","106","H",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","92","26402","G","5605","H","1712","H",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","47","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","220","Establishments with 5 to 9 employees","2022","13","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","6","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","241","Establishments with 20 to 49 employees","2022","16","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","242","Establishments with 50 to 99 employees","2022","8","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713950","Bowling centers","001","All establishments","001","All establishments","2022","3","2619","H","597","H","107","H",
"0500000US01073","Jefferson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","30","11672","H","2334","H","517","G",
"0500000US01073","Jefferson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","210","Establishments with less than 5 employees","2022","18","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","713990","All other amusement and recreation industries","001","All establishments","241","Establishments with 20 to 49 employees","2022","3","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","61","14771","H","3271","H","486","H",
"0500000US01073","Jefferson County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","35","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","813410","Civic and social organizations","001","All establishments","220","Establishments with 5 to 9 employees","2022","15","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","813410","Civic and social organizations","001","All establishments","230","Establishments with 10 to 19 employees","2022","6","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","813410","Civic and social organizations","001","All establishments","241","Establishments with 20 to 49 employees","2022","4","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","17","8268","H","1726","H","165","H",
"0500000US01077","Lauderdale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","6","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","5","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","241","Establishments with 20 to 49 employees","2022","3","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","713930","Marinas","001","All establishments","001","All establishments","2022","3","215","G","27","J","2","J",
"0500000US01077","Lauderdale County, Alabama","713930","Marinas","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","8","1561","G","363","G","190","H",
"0500000US01077","Lauderdale County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","4","748","G","162","G","45","H",
"0500000US01077","Lauderdale County, Alabama","713990","All other amusement and recreation industries","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","5","214","G","47","H","12","J",
"0500000US01077","Lauderdale County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","13","3549","H","756","H","89","H",
"0500000US01081","Lee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","5","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","19","2780","G","628","H","216","G",
"0500000US01081","Lee County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","11","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","5","329","H","111","H","29","J",
"0500000US01081","Lee County, Alabama","713990","All other amusement and recreation industries","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","11","934","G","221","G","40","H",
"0500000US01081","Lee County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","10","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","12","5155","H","1110","H","126","H",
"0500000US01083","Limestone County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","6","553","G","102","G","91","J",
"0500000US01083","Limestone County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","348","J","63","J","12","J",
"0500000US01083","Limestone County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","4","75","G","14","J","4","G",
"0500000US01083","Limestone County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","69","23005","G","4998","G","522","G",
"0500000US01089","Madison County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","32","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","16","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","12","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","241","Establishments with 20 to 49 employees","2022","9","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","711211","Sports teams and clubs","001","All establishments","001","All establishments","2022","3","3309","H","585","H","208","H",
"0500000US01089","Madison County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","72","13438","G","2947","G","1026","G",
"0500000US01089","Madison County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","25","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","220","Establishments with 5 to 9 employees","2022","20","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","15","N","N","N","N","N","N",
